Date,Sales Revenue (USD),Model,Engine Type,Color,Customer Region,Dealer Name,Units Sold,Discount (%),Customer Rating
2023-05-31,88392.82604997852,5 Series,Hybrid,Black,Giza,BMW Aswan,12,10.758815690733647,3.981354276983801
2023-03-31,91524.94059444766,X5,Diesel,Grey,Alexandria,BMW Alex,9,9.335020919181678,4.111698861401097
2023-05-31,57962.015467355704,X3,Diesel,Grey,Giza,BMW Cairo,1,0.5551755914562523,3.5807460359931227
2023-11-30,33792.09868483336,X5,Petrol,Blue,Giza,BMW Aswan,7,8.727267603600259,3.4881488346650147
2023-12-31,42340.32672041106,X3,Petrol,White,Luxor,BMW Aswan,9,2.17887947820818,4.966437835340378
2023-09-30,80268.10680744343,X5,Electric,Blue,Aswan,BMW Luxor,3,10.744778156176261,4.562935852316114
2023-08-31,94892.10032437001,3 Series,Hybrid,White,Cairo,BMW Alex,4,8.476324844796192,4.615619992339582
2023-11-30,86564.74540064877,5 Series,Electric,Blue,Luxor,BMW Luxor,14,4.085214292729885,4.941113202083531
2023-05-31,39934.150136460165,3 Series,Diesel,Black,Alexandria,BMW Alex,1,13.220537239719569,3.847259417543117
2023-04-30,82163.4510135573,X3,Petrol,Black,Aswan,BMW Cairo,3,12.452643217201807,3.780651610481967
2023-01-31,22763.622251172586,3 Series,Diesel,Red,Cairo,BMW Cairo,3,0.6936554848303278,3.565786698456449
2023-11-30,97374.24756371144,X5,Hybrid,White,Giza,BMW Aswan,14,14.171952848741736,4.097723289753171
2023-10-31,40732.61319828927,X5,Hybrid,White,Alexandria,BMW Alex,5,2.4918820024161397,3.0830727957330697
2023-02-28,77852.98579313363,X3,Petrol,Red,Aswan,BMW Luxor,3,9.878506160101162,4.536832736321974
2023-06-30,40259.536730670356,3 Series,Diesel,Blue,Alexandria,BMW Aswan,2,6.619642327420223,3.5772853876960546
2023-07-31,46235.81908049725,X1,Petrol,White,Alexandria,BMW Aswan,7,13.113348243327744,3.629430592798446
2023-12-31,65965.4925365072,X3,Hybrid,Grey,Aswan,BMW Aswan,9,8.795791493304124,3.5992195054193674
2023-06-30,61653.984307777246,X5,Hybrid,Blue,Alexandria,BMW Alex,7,6.4708433194333725,3.292681131295694
2023-05-31,35972.152184357255,X3,Hybrid,Blue,Luxor,BMW Giza,7,14.254884288265432,4.700694468540265
2023-10-31,59791.89640819648,X3,Petrol,Grey,Alexandria,BMW Aswan,10,12.839860001571601,4.079235723367773
2023-05-31,42695.257749018936,X1,Diesel,Black,Alexandria,BMW Aswan,5,2.4087055086812272,4.96171784060833
